Header,Description,Requirements,Tasks,Pluses,Raw text
Аналитик-разработчик в Рекламу,"Чтобы удерживать высокие позиции на рынке рекламы, мы постоянно улучшаем рекламные продукты. Например, стремимся упростить процессы заведения и настройки рекламных кампаний в личном кабинете, чтобы сэкономить бюджеты малого и среднего бизнеса. Мы ищем аналитика, который поможет нам настраивать регулярные процессы и находить инсайты.","• работали в продуктовой аналитике
• уверенно программируете на Python
• знаете Airflow
• способны предлагать решения на основе данных и визуализировать данные","• выстроить процесс A/B-тестирования и приемки результатов
• изучить нормальное и аномальное поведение пользователей и найти точки роста
• понять, в чем состоит счастье пользователя и как создать для него лучший продукт
• выстроить регулярный мониторинг ключевых метрик","• разбираетесь в рекламных технологиях
• работали с ClickHouse и Яндекс.Метрикой","Аналитик-разработчик в Рекламу

Чтобы удерживать высокие позиции на рынке рекламы, мы постоянно улучшаем рекламные продукты. Например, стремимся упростить процессы заведения и настройки рекламных кампаний в личном кабинете, чтобы сэкономить бюджеты малого и среднего бизнеса. Мы ищем аналитика, который поможет нам настраивать регулярные процессы и находить инсайты.

НАШИ ТРЕБОВАНИЯ К ВАМ:
• работали в продуктовой аналитике
• уверенно программируете на Python
• знаете Airflow
• способны предлагать решения на основе данных и визуализировать данные

ВАШИ ЗАДАЧИ:
• выстроить процесс A/B-тестирования и приемки результатов
• изучить нормальное и аномальное поведение пользователей и найти точки роста
• понять, в чем состоит счастье пользователя и как создать для него лучший продукт
• выстроить регулярный мониторинг ключевых метрик

БУДЕТ ПЛЮСОМ ДЛЯ ВАС:
• разбираетесь в рекламных технологиях
• работали с ClickHouse и Яндекс.Метрикой"
Разработчик поискового робота,"Наша команда разрабатывает поисковый робот, который планирует скачивания документов для сервисов Яндекса. Наш робот — это 3+ трлн документов (HTML’ки, картинки, видео...), на них каждую секунду приходит 1+ млн событий (клик, показ, результат скачивания...). Робот в реальном времени выбирает, в том числе используя ML, какие документы и когда скачивать.
Документов в базе, событий и скачиваний становится все больше, и мы ищем специалиста, который поможет развивать поисковый робот.","• знаете классические алгоритмы и структуры данных
• знаете хотя бы один язык программирования (желательно C++)
• умеете договариваться с людьми","• анализировать производительность, искать узкие места, отслеживать и интерпретировать работу системы, планировать рост и масштабированиe
• разбирать сложные ситуации
• улучшать алгоритмы выбора документов","• имеете опыт администрирования
• знакомы с тервером и матстатом
• знаете интерпретируемый язык программирования (желательно Python)","Разработчик поискового робота

Наша команда разрабатывает поисковый робот, который планирует скачивания документов для сервисов Яндекса. Наш робот — это 3+ трлн документов (HTML’ки, картинки, видео...), на них каждую секунду приходит 1+ млн событий (клик, показ, результат скачивания...). Робот в реальном времени выбирает, в том числе используя ML, какие документы и когда скачивать.
Документов в базе, событий и скачиваний становится все больше, и мы ищем специалиста, который поможет развивать поисковый робот.

НАШИ ТРЕБОВАНИЯ К ВАМ:
• знаете классические алгоритмы и структуры данных
• знаете хотя бы один язык программирования (желательно C++)
• умеете договариваться с людьми

ВАШИ ЗАДАЧИ:
• анализировать производительность, искать узкие места, отслеживать и интерпретировать работу системы, планировать рост и масштабированиe
• разбирать сложные ситуации
• улучшать алгоритмы выбора документов

БУДЕТ ПЛЮСОМ ДЛЯ ВАС:
• имеете опыт администрирования
• знакомы с тервером и матстатом
• знаете интерпретируемый язык программирования (желательно Python)"
Аналитик в Браузер,"Мы ищем сильного и инициативного аналитика, который будет улучшать опыт десяти миллионов пользователей Яндекс.Браузера, помогая принимать решения о развитии продукта на основе анализа данных.","• знаете Python
• знаете матстат
• получили высшее математическое или техническое образование
• хорошо технически подготовлены, уверенно используете один из скриптовых языков","• помогать продуктовой команде выдвигать гипотезы и оценивать их потенциал
• проводить A/B-тесты, превращая результаты в рекомендации о решениях
• проводить масштабные исследования пользовательских сценариев
• создавать мониторинги, чтобы отслеживать показатели здоровья сервиса","• понимаете принципы работы браузера и современных веб-технологий
• применяли ML
• работали в аналогичной должности","Аналитик в Браузер

Мы ищем сильного и инициативного аналитика, который будет улучшать опыт десяти миллионов пользователей Яндекс.Браузера, помогая принимать решения о развитии продукта на основе анализа данных.

НАШИ ТРЕБОВАНИЯ К ВАМ:
• знаете Python
• знаете матстат
• получили высшее математическое или техническое образование
• хорошо технически подготовлены, уверенно используете один из скриптовых языков

ВАШИ ЗАДАЧИ:
• помогать продуктовой команде выдвигать гипотезы и оценивать их потенциал
• проводить A/B-тесты, превращая результаты в рекомендации о решениях
• проводить масштабные исследования пользовательских сценариев
• создавать мониторинги, чтобы отслеживать показатели здоровья сервиса

БУДЕТ ПЛЮСОМ ДЛЯ ВАС:
• понимаете принципы работы браузера и современных веб-технологий
• применяли ML
• работали в аналогичной должности"
Разработчик BI,"Наша команда разрабатывает аналитические отчеты на базе BI MicroStrategy. Присоединяйтесь к нам, если вы готовы изучать новое и применять знания на практике.","• разрабатываете на Oracle PL/SQL больше трех лет
• знаете Java или Python
• знаете архитектуру веб-приложений и аналитических хранилищ данных (схемы «Звезды» и «Снежинка», OLAP и др.)","• разрабатывать отчеты, визуализации, дашборды и объекты баз данных
• создавать интеграции
• заниматься рефакторингом","• работали с инструментами BI (MicroStrategy) 
• имели дело с Oracle E-Business Suite","Разработчик BI

Наша команда разрабатывает аналитические отчеты на базе BI MicroStrategy. Присоединяйтесь к нам, если вы готовы изучать новое и применять знания на практике.

НАШИ ТРЕБОВАНИЯ К ВАМ:
• разрабатываете на Oracle PL/SQL больше трех лет
• знаете Java или Python
• знаете архитектуру веб-приложений и аналитических хранилищ данных (схемы «Звезды» и «Снежинка», OLAP и др.)

ВАШИ ЗАДАЧИ:
• разрабатывать отчеты, визуализации, дашборды и объекты баз данных
• создавать интеграции
• заниматься рефакторингом

БУДЕТ ПЛЮСОМ ДЛЯ ВАС:
• работали с инструментами BI (MicroStrategy) 
• имели дело с Oracle E-Business Suite"
Разработчики приложения Умный дом в Алису,"Мы создаем приложение Умный дом для iOS и Android, чтобы пользователь мог в один клик управлять всеми устройствами, подконтрольными Алисе. Ищем разработчиков, которые будут развивать приложение для обеих платформ.","• программируете на Swift и ObjC (если вы iOS-разработчик) или на Java и Kotlin (если пишете для Android)
• работали с клиент-серверными приложениями
• знаете принципы программирования в многопоточной среде
• понимаете плюсы и минусы разных паттернов проектирования и архитектурных подходов","• разрабатывать и поддерживать приложение Умный дом, контролировать сроки, стабильность и производительность 
• влиять на каждый шаг в цикле разработки: от составления требований до анализа и утверждения экспериментов","• работали с системами умного дома
• знакомы с C++
• умеете тестировать собственный код
• имеете опыт работы с WebView Откликайтесь на вакансию на нашем сайте:","Разработчики приложения Умный дом в Алису

Мы создаем приложение Умный дом для iOS и Android, чтобы пользователь мог в один клик управлять всеми устройствами, подконтрольными Алисе. Ищем разработчиков, которые будут развивать приложение для обеих платформ.

НАШИ ТРЕБОВАНИЯ К ВАМ:
• программируете на Swift и ObjC (если вы iOS-разработчик) или на Java и Kotlin (если пишете для Android)
• работали с клиент-серверными приложениями
• знаете принципы программирования в многопоточной среде
• понимаете плюсы и минусы разных паттернов проектирования и архитектурных подходов

ВАШИ ЗАДАЧИ:
• разрабатывать и поддерживать приложение Умный дом, контролировать сроки, стабильность и производительность 
• влиять на каждый шаг в цикле разработки: от составления требований до анализа и утверждения экспериментов

БУДЕТ ПЛЮСОМ ДЛЯ ВАС:
• работали с системами умного дома
• знакомы с C++
• умеете тестировать собственный код
• имеете опыт работы с WebView Откликайтесь на вакансию на нашем сайте:"
Data Scientist в команду прогнозирования спроса Яндекс.Маркета,"Сервис покупок появился на Яндекс.Маркете в 2018 году. За это время мы помогли выбрать и купить товар 6 млн пользователей, а наш ассортимент расширился до 2 млн наименований товаров. Наша команда следит за тем, чтобы нужные товары всегда были на складе, а склад при этом не был перегружен. А еще мы помогаем другим командам Маркета строить тактические прогнозы, проводить акции и решать задачи, связанные с локальными оптимизациями, бенчмарками, adhoc- и высоконагруженными моделями.","• отлично знаете матстат и тервер
• умеете работать с данными на Python и SQL, знакомы с популярными библиотеками для машинного обучения;
• разбираетесь в устройстве методов ML, применяли их для решения бизнес-задач
• умеете строить надежные пайплайны данных","• собирать и анализировать данные для решения задач прогнозирования
• реализовывать ML-модели от стадии оценки прототипов до внедрения в продакшен
• оптимизировать и ускорять узкие места пайплайна данных","• работали с технологиями MapReduce, Hadoop
• разворачивали высоконагруженные модели в продакшене
• хорошо знакомы с BI-инструментами Tableau, Power BI","Data Scientist в команду прогнозирования спроса Яндекс.Маркета

Сервис покупок появился на Яндекс.Маркете в 2018 году. За это время мы помогли выбрать и купить товар 6 млн пользователей, а наш ассортимент расширился до 2 млн наименований товаров. Наша команда следит за тем, чтобы нужные товары всегда были на складе, а склад при этом не был перегружен. А еще мы помогаем другим командам Маркета строить тактические прогнозы, проводить акции и решать задачи, связанные с локальными оптимизациями, бенчмарками, adhoc- и высоконагруженными моделями.

НАШИ ТРЕБОВАНИЯ К ВАМ:
• отлично знаете матстат и тервер
• умеете работать с данными на Python и SQL, знакомы с популярными библиотеками для машинного обучения;
• разбираетесь в устройстве методов ML, применяли их для решения бизнес-задач
• умеете строить надежные пайплайны данных

ВАШИ ЗАДАЧИ:
• собирать и анализировать данные для решения задач прогнозирования
• реализовывать ML-модели от стадии оценки прототипов до внедрения в продакшен
• оптимизировать и ускорять узкие места пайплайна данных

БУДЕТ ПЛЮСОМ ДЛЯ ВАС:
• работали с технологиями MapReduce, Hadoop
• разворачивали высоконагруженные модели в продакшене
• хорошо знакомы с BI-инструментами Tableau, Power BI"
Разработчик-аналитик машинного обучения в Еду,"Яндекс.Еда меняет привычки людей в сфере питания, развивает фудтех и буквально приближает будущее. Наша команда помогает улучшить Еду с помощью алгоритмов и больших данных. Мы разрабатываем рекомендации ресторанов и магазинов, товаров и блюд, прогнозируем время готовки и доставки заказа, потребность в курьерах.
У нас глобальные и смелые планы и, возможно, именно вы поможете нам осуществить их как можно скорее.","• знаете методы анализа данных и ML, применяли их на практике
• знаете матстат и тервер
• пишете на Python или C++","• отвечать за все стадии ML-проектов: от формализации задачи до внедрения в продакшен
• находить точки роста и улучшать бизнес-показатели
• выдвигать гипотезы и проверять их экспериментально","• внедряли модели ML в продакшен
• разрабатывали рекомендательные системы
• проводили эксперименты и анализировали результаты А/Б-тестов","Разработчик-аналитик машинного обучения в Еду

Яндекс.Еда меняет привычки людей в сфере питания, развивает фудтех и буквально приближает будущее. Наша команда помогает улучшить Еду с помощью алгоритмов и больших данных. Мы разрабатываем рекомендации ресторанов и магазинов, товаров и блюд, прогнозируем время готовки и доставки заказа, потребность в курьерах.
У нас глобальные и смелые планы и, возможно, именно вы поможете нам осуществить их как можно скорее.

НАШИ ТРЕБОВАНИЯ К ВАМ:
• знаете методы анализа данных и ML, применяли их на практике
• знаете матстат и тервер
• пишете на Python или C++

ВАШИ ЗАДАЧИ:
• отвечать за все стадии ML-проектов: от формализации задачи до внедрения в продакшен
• находить точки роста и улучшать бизнес-показатели
• выдвигать гипотезы и проверять их экспериментально

БУДЕТ ПЛЮСОМ ДЛЯ ВАС:
• внедряли модели ML в продакшен
• разрабатывали рекомендательные системы
• проводили эксперименты и анализировали результаты А/Б-тестов"
Инженер стереокамер в команду трехмерного видео,"Наша команда создает технологию съемки, производства и показа трехмерных фильмов (динамических световых полей) в виртуальной реальности для Яндекс.Медиасервисов. Мы ищем инженера для создания, отладки и калибровки стереокамер.","• проектировали, собирали установки (риги), калибровали (intrinsic и extrinsic) системы из нескольких камер
• знаете С++ или Python на уровне, достаточном для запуска библиотек калибровки и отладки
• знаете трехмерную геометрию (модели камер, multi-view geometry) на уровне, достаточном для понимания и настройки процесса калибровки
• работали с CAD-системами и 3D-печатью","• проектировать, собирать и калибровать систему из камер (стереориги) для проведения стереовидеосъемки
• поддерживать систему в рабочем состоянии, участвовать в съемках контента","• создавали 3D-контент
• занимались профессиональной видео- и киносъемкой
• имеете опыт не только геометрической калибровки, но и синхронизации
• вели видеосъемку с дронов","Инженер стереокамер в команду трехмерного видео

Наша команда создает технологию съемки, производства и показа трехмерных фильмов (динамических световых полей) в виртуальной реальности для Яндекс.Медиасервисов. Мы ищем инженера для создания, отладки и калибровки стереокамер.

НАШИ ТРЕБОВАНИЯ К ВАМ:
• проектировали, собирали установки (риги), калибровали (intrinsic и extrinsic) системы из нескольких камер
• знаете С++ или Python на уровне, достаточном для запуска библиотек калибровки и отладки
• знаете трехмерную геометрию (модели камер, multi-view geometry) на уровне, достаточном для понимания и настройки процесса калибровки
• работали с CAD-системами и 3D-печатью

ВАШИ ЗАДАЧИ:
• проектировать, собирать и калибровать систему из камер (стереориги) для проведения стереовидеосъемки
• поддерживать систему в рабочем состоянии, участвовать в съемках контента

БУДЕТ ПЛЮСОМ ДЛЯ ВАС:
• создавали 3D-контент
• занимались профессиональной видео- и киносъемкой
• имеете опыт не только геометрической калибровки, но и синхронизации
• вели видеосъемку с дронов"
Разработчик алгоритмов для трехмерной реконструкции,"Еще одна вакансия в команду, которая разрабатывает технологию съемки, производства и показа трехмерных фильмов для Медиасервисов. На этот раз ищем питониста. Проект совсем молодой, команда новая — все, как в настоящем стартапе. Ждем всех: и VR-энтузиастов, и тех, кто только начинает погружаться в виртуальную реальность. Приходите, у нас интересно!","• знаете линейную алгебру и аналитическую геометрию, тервер
• отлично пишете на Python
• программировали нейросети и обучали их на подготовленных вами больших наборах данных (предпочтительно на PyTorch)
• умеете реализовывать методы из прочитанных статей, быстро разбираться в исследовательских библиотеках","• разрабатывать алгоритмы трехмерной стереореконструкции (в том числе динамической), тренировать большие нейросети
• собирать и создавать обучающие наборы данных для трехмерной реконструкции
• дорабатывать различные представления трехмерных сцен","• пишете на С++
• работали с трехмерным компьютерным зрением или фотограмметрией","Разработчик алгоритмов для трехмерной реконструкции

Еще одна вакансия в команду, которая разрабатывает технологию съемки, производства и показа трехмерных фильмов для Медиасервисов. На этот раз ищем питониста. Проект совсем молодой, команда новая — все, как в настоящем стартапе. Ждем всех: и VR-энтузиастов, и тех, кто только начинает погружаться в виртуальную реальность. Приходите, у нас интересно!

НАШИ ТРЕБОВАНИЯ К ВАМ:
• знаете линейную алгебру и аналитическую геометрию, тервер
• отлично пишете на Python
• программировали нейросети и обучали их на подготовленных вами больших наборах данных (предпочтительно на PyTorch)
• умеете реализовывать методы из прочитанных статей, быстро разбираться в исследовательских библиотеках

ВАШИ ЗАДАЧИ:
• разрабатывать алгоритмы трехмерной стереореконструкции (в том числе динамической), тренировать большие нейросети
• собирать и создавать обучающие наборы данных для трехмерной реконструкции
• дорабатывать различные представления трехмерных сцен

БУДЕТ ПЛЮСОМ ДЛЯ ВАС:
• пишете на С++
• работали с трехмерным компьютерным зрением или фотограмметрией"
Разработчик решений e-commerce в Поиск,"Рынок электронной коммерции растет, все больше людей предпочитают покупать онлайн. Мы помогаем пользователям искать товары, а бизнесу — рассказывать о них и создавать электронные площадки для торговли. Мы разрабатываем два решения: B2B и B2C. Если вам интересно придумывать метрики для коммерческих запросов и работать с распределенными высоконагруженными сервисами, эта вакансия для вас!",• отлично знаете C++,"• решать задачи, возникающие в процессе работы над решениями для электронной коммерции: от создания продуктовых метрик до анализа данных и ML","• понимаете принципы работы e-commerce и высоконагруженных, распределенных сервисов
• знаете ML, работали с БД","Разработчик решений e-commerce в Поиск

Рынок электронной коммерции растет, все больше людей предпочитают покупать онлайн. Мы помогаем пользователям искать товары, а бизнесу — рассказывать о них и создавать электронные площадки для торговли. Мы разрабатываем два решения: B2B и B2C. Если вам интересно придумывать метрики для коммерческих запросов и работать с распределенными высоконагруженными сервисами, эта вакансия для вас!

НАШИ ТРЕБОВАНИЯ К ВАМ:
• отлично знаете C++

ВАШИ ЗАДАЧИ:
• решать задачи, возникающие в процессе работы над решениями для электронной коммерции: от создания продуктовых метрик до анализа данных и ML

БУДЕТ ПЛЮСОМ ДЛЯ ВАС:
• понимаете принципы работы e-commerce и высоконагруженных, распределенных сервисов
• знаете ML, работали с БД"
Python-разработчик в сервисы для малого и среднего бизнеса,"Яндекс разрабатывает технологии не только для обычных пользователей, но и для бизнеса. Мы стремимся сделать рекламу в интернете простой и понятной для средних и малых организаций, улучшить пользовательский опыт фрилансеров и агентств, которые помогают бизнесу решать рекламные задачи. Будет сложно, но интересно.","• не меньше трех лет разрабатывали код на Python
• имеете опыт написания асинхронного кода
• знаете шаблоны проектирования и компонентный подход к написанию кода
• писали юнит-тесты
• работали с реляционными базами данных и Unix-системами","• разрабатывать бэкенд на Python
• проектировать распределенные отказоустойчивые системы
• продумывать и реализовывать гибкие API, отвечающие бизнес-требованиям","• разрабатывали по методологии TDD
• работали с Docker, RabbitMQ и protobuf
• разрабатывали высоконагруженные системы","Python-разработчик в сервисы для малого и среднего бизнеса

Яндекс разрабатывает технологии не только для обычных пользователей, но и для бизнеса. Мы стремимся сделать рекламу в интернете простой и понятной для средних и малых организаций, улучшить пользовательский опыт фрилансеров и агентств, которые помогают бизнесу решать рекламные задачи. Будет сложно, но интересно.

НАШИ ТРЕБОВАНИЯ К ВАМ:
• не меньше трех лет разрабатывали код на Python
• имеете опыт написания асинхронного кода
• знаете шаблоны проектирования и компонентный подход к написанию кода
• писали юнит-тесты
• работали с реляционными базами данных и Unix-системами

ВАШИ ЗАДАЧИ:
• разрабатывать бэкенд на Python
• проектировать распределенные отказоустойчивые системы
• продумывать и реализовывать гибкие API, отвечающие бизнес-требованиям

БУДЕТ ПЛЮСОМ ДЛЯ ВАС:
• разрабатывали по методологии TDD
• работали с Docker, RabbitMQ и protobuf
• разрабатывали высоконагруженные системы"
Разработчик на Python в рекомендательную систему,"Мы создаем систему, которая оптимизирует опыт клиентов, использующих рекламные инструменты Яндекса. Алгоритмы прогнозируют поведение метрик и ищут отклонения. Точки неэффективности превращаются в сигналы, обогащаются аналитикой и в форме триггеров поступают в интерфейсы и внутренние системы Яндекса. Эту информацию получают рекламодатели, аккаунт-менеджеры, сотрудники агентств и руководители продуктов.
Мы ищем Python-разработчика. Вы будете проектировать инфраструктуру для microbatch и потоковой поставки и обработки данных, а также разрабатывать core-алгоритмы.","• уверенно программируете на Python 3
• отлично знаете SQL
• больше двух лет занимались разработкой","• проектировать и развивать архитектуру аналитической платформы сигналов
• прорабатывать интеграцию аналитической платформы с системами и внутренними инструментами
• развивать инфраструктуру и процессы поставки данных между хранилищами (MapReduce, PostgreSQL, ClickHouse)
• автоматизировать процессы и задачи sales-подразделений коммерческого департамента","• разрабатывали ETL-процессы
• строили конвейеры для потоковой обработки данных (Kafka Streams, Spark Streaming, etc.)
• знаете библиотеки и фреймворки для параллельных вычислений (Dask, Celery)","Разработчик на Python в рекомендательную систему

Мы создаем систему, которая оптимизирует опыт клиентов, использующих рекламные инструменты Яндекса. Алгоритмы прогнозируют поведение метрик и ищут отклонения. Точки неэффективности превращаются в сигналы, обогащаются аналитикой и в форме триггеров поступают в интерфейсы и внутренние системы Яндекса. Эту информацию получают рекламодатели, аккаунт-менеджеры, сотрудники агентств и руководители продуктов.
Мы ищем Python-разработчика. Вы будете проектировать инфраструктуру для microbatch и потоковой поставки и обработки данных, а также разрабатывать core-алгоритмы.

НАШИ ТРЕБОВАНИЯ К ВАМ:
• уверенно программируете на Python 3
• отлично знаете SQL
• больше двух лет занимались разработкой

ВАШИ ЗАДАЧИ:
• проектировать и развивать архитектуру аналитической платформы сигналов
• прорабатывать интеграцию аналитической платформы с системами и внутренними инструментами
• развивать инфраструктуру и процессы поставки данных между хранилищами (MapReduce, PostgreSQL, ClickHouse)
• автоматизировать процессы и задачи sales-подразделений коммерческого департамента

БУДЕТ ПЛЮСОМ ДЛЯ ВАС:
• разрабатывали ETL-процессы
• строили конвейеры для потоковой обработки данных (Kafka Streams, Spark Streaming, etc.)
• знаете библиотеки и фреймворки для параллельных вычислений (Dask, Celery)"
Разработчик в Вебмастер,"Основная цель Яндекса — решать задачи людей. Любые задачи: в сети и в реальном мире, повседневные и редкие, бытовые и научные, за третий класс и за пятый курс. Именно для этого мы совершенствуем Поиск и создаем сервисы.
Мы ищем талантливого разработчика в команду Яндекс.Вебмастера. В работе мы используем MapReduce, ClickHouse и Cassandra.","• больше двух лет разрабатывали на Java
• знаете классические алгоритмы и структуры данных
• умеете разбираться в чужом коде","• писать бэкенд-код для Вебмастера и связанных сервисов
• обрабатывать огромные объемы данных
• обеспечивать интеграцию с другими компонентами
• проектировать отказоустойчивые системы
• создавать и совершенствовать алгоритмы анализа информации","• разрабатывали на C++
• знакомы с распределенными системами и распределенными БД
• умеете работать с Linux, знаете Bash/shell
• работали с большими объемами данных","Разработчик в Вебмастер

Основная цель Яндекса — решать задачи людей. Любые задачи: в сети и в реальном мире, повседневные и редкие, бытовые и научные, за третий класс и за пятый курс. Именно для этого мы совершенствуем Поиск и создаем сервисы.
Мы ищем талантливого разработчика в команду Яндекс.Вебмастера. В работе мы используем MapReduce, ClickHouse и Cassandra.

НАШИ ТРЕБОВАНИЯ К ВАМ:
• больше двух лет разрабатывали на Java
• знаете классические алгоритмы и структуры данных
• умеете разбираться в чужом коде

ВАШИ ЗАДАЧИ:
• писать бэкенд-код для Вебмастера и связанных сервисов
• обрабатывать огромные объемы данных
• обеспечивать интеграцию с другими компонентами
• проектировать отказоустойчивые системы
• создавать и совершенствовать алгоритмы анализа информации

БУДЕТ ПЛЮСОМ ДЛЯ ВАС:
• разрабатывали на C++
• знакомы с распределенными системами и распределенными БД
• умеете работать с Linux, знаете Bash/shell
• работали с большими объемами данных"
ML-разработчик в Путешествия,"Сервис Яндекс.Путешествия помогает пользователям посмотреть расписание, выбрать и купить билет на самолет, поезд или автобус и забронировать проживание. Сервис раньше работал больше по рекламной модели (показывал информацию о партнерских предложениях, давал возможность уйти и забронировать нужный вариант, например на","• знаете Python, имеете опыт решения ML-задач
• владеете технологиями Яндекса (Nirvana, YQL и так далее)","• отвечать за весь ML-пайплайн в Путешествиях, от формализации задачи и подготовки данных до интеграции в бэкенд и эксперименты
• вместе с аналитиками и стейкхолдерами обсуждать возможные точки применения ML-решений: где действительно полезно сделать сложное решение, а где простая эвристика будет дешевле и надежнее",• знаете C++ и Go,"ML-разработчик в Путешествия

Сервис Яндекс.Путешествия помогает пользователям посмотреть расписание, выбрать и купить билет на самолет, поезд или автобус и забронировать проживание. Сервис раньше работал больше по рекламной модели (показывал информацию о партнерских предложениях, давал возможность уйти и забронировать нужный вариант, например на

НАШИ ТРЕБОВАНИЯ К ВАМ:
• знаете Python, имеете опыт решения ML-задач
• владеете технологиями Яндекса (Nirvana, YQL и так далее)

ВАШИ ЗАДАЧИ:
• отвечать за весь ML-пайплайн в Путешествиях, от формализации задачи и подготовки данных до интеграции в бэкенд и эксперименты
• вместе с аналитиками и стейкхолдерами обсуждать возможные точки применения ML-решений: где действительно полезно сделать сложное решение, а где простая эвристика будет дешевле и надежнее

БУДЕТ ПЛЮСОМ ДЛЯ ВАС:
• знаете C++ и Go"
